"cc.raw","pyro.raw","patch.raw","precc.raw","elev.raw","lat.raw","whrtype","fir.raw"
31.54,5.41,30,20.97142857,1644.069,40.0336625866,"SMC",0.998857142857143
52.42,8.04,94.87,19.97142857,1636.701,40.0333179206,"SMC",0.229714285714286
42.94,5.87,67.08,41.4375,1655.562,40.0340747602,"SMC",1.940625
64.93,4.06,84.85,49.02941176,1680.34,40.0361704832,"SMC",1.60058823529412
2.59,3.21,0,36.71875,1694.505,40.0384170573,"SMC",3.51625
97.97,2.16,150,71.81081081,1870.263,39.6223564613,"SMC",35.3386486486487
41.78,2,30,49.09375,1800.328,39.628042652,"NFR",3.2178125
38.31,2.68,30,59.08108108,1784.041,39.62591452,"SMC",11.6724324324324
28.86,3.01,0,64.37837838,1777.076,39.623223718,"SMC",15.5221621621622
62.14,2.44,42.43,51.6,1756.721,39.620998213,"SMC",8.93428571428571
67.47,2.66,42.43,59.74285714,1756.338,39.61910907,"NFR",1.782
65.56,2.42,60,70.45945946,1739.711,39.617612884,"SMC",20.0021621621622
22.38,2,0,73.76470588,1726.113,39.616390931,"WFR",15.2614705882353
99.09,2.71,169.71,71.17142857,1764.005,39.618997458,"WFR",42.8251428571429
96.56,2.53,240,64.82857143,1839.981,39.620862431,"NFR",49.2197142857143
27.67,4.32,0,79.11428571,1840.864,39.624346437,"SMC",28.5005714285714
62.06,5.95,60,71.05405405,1926.813,39.625601455,"SMC",25.822972972973
24.8,5.83,0,69.6,1951.15,39.627973319,"SMC",32.5002777777778
36.26,3,0,63.83333333,1958.568,39.630201851,"SMC",24.5819444444444
36.14,2.25,0,22.28571429,1949.965,39.630944988,"SMC",7.926
0.03,1.61,0,71.96875,1897.956,39.631619265,"SMC",43.76875
24.84,3.31,0,53.875,1923.864,39.629210716,"SMC",21.1902777777778
52.11,6.41,30,47.11111111,1910.71,39.626741042,"SMC",22.5155555555556
19.91,4.02,0,68.74285714,1905.397,39.624443019,"SMC",22.6062857142857
99.97,2.52,201.25,33.38888889,2326.495,37.3235851601,"JPN",1.84888888888889
100,2.21,150,38.51351351,2389.124,37.323594005,"JPN",2.01243243243243
87.05,2.43,90,34.74285714,2365.11,37.325835168,"JPN",0.357714285714286
69.51,4.45,108.17,34.05714286,2341.175,37.3281554399,"JPN",0
43.89,3.61,30,39.26470588,2430.642,37.3282491306,"JPN",0.603529411764706
92.73,2.77,123.69,49.90625,2443.969,37.3281622022,"JPN",3.990625
99.99,2.16,256.32,50.37142857,2342.136,37.3214146583,"SMC",6.654
