b.whr.1,b.whr.2,b.whr.3,b.whr.4,b.whr.5,b.whr.6,b.whr.7,b.whr.8,b.whr.9,b.whr.10,b.age,b.agesev,b.agesq,b.elev,b.elevsq,b.elevlat,b.lat,b.patch,b.precc,b.pyro,b.sev,b.fir,b.agefir,f.season,f.size,f0,b0
0.009807459,-0.000622985,-0.000648306,0.007855301,0.011624265,-0.005302821,-0.02459914,-0.013330061,-0.000763511,0.002409495,-0.768300106,-0.145006814,0.095416789,1.269922785,-0.323506373,0.151090598,1.221051918,0.013947403,-0.057919284,0.160530562,0.181343686,0.228973827,0.1133015,0.536969639,-0.185849711,-2.238781721,-2.159418276
-0.048178742,-0.050255454,0.153387086,-0.049750482,-0.0710573,0.017973383,0.107640273,0.042468701,0.095962079,-0.041740829,-0.711307278,-0.285011704,0.097615953,1.152754584,-0.199548808,0.008685974,1.11941509,-0.044761277,-0.042810339,0.186115248,0.28933443,0.184369019,0.118993794,0.162939214,-0.283483325,-2.469795097,-2.390210941
0.001000651,0.039841439,0.004433029,0.058840464,-0.089568494,-0.004189322,0.164305545,0.008407046,0.052984636,-0.068778145,-0.649193086,-0.109887109,0.067183916,1.238247462,-0.310233829,0.082829767,1.090237503,-0.155386459,-0.009418489,0.133064127,0.31344218,0.249743183,0.116519525,-0.091674655,-0.058256672,-2.245876203,-2.121699913
-0.032275717,0.003521972,0.169746684,-0.067266512,-0.232842364,-0.175654985,0.168317281,-0.032898526,-0.112325432,0.180283666,-0.700229629,-0.18987036,0.137117759,0.943066775,-0.137546705,-0.295075844,1.122421489,-0.088933752,0.127314979,0.107762548,0.348121569,0.189735748,0.124147754,0.318056478,-0.1159903,-2.49204028,-2.388513459
0.186865403,0.116137934,0.133612607,0.058662281,-0.080210889,0.021805043,0.03674322,-0.087133682,0.16365804,-0.087727793,-0.730593514,-0.159341473,0.079792509,1.206838851,-0.211366328,-0.031180271,1.261741658,-0.029536099,0.009258003,0.155482439,0.279228208,0.255504887,0.022984943,0.994414205,-0.065036975,-2.760415003,-2.364132356
0.061376886,0.026036997,-0.058269552,0.197161703,-0.03270037,-0.101176629,-0.048371138,-0.073521697,0.03438856,0.04882542,-0.75326565,-0.172217045,-0.018609878,1.172148994,-0.12543919,0.116435163,0.99210433,-0.176741781,-0.059947571,0.16839944,0.30886349,0.24958891,0.047471651,0.711630774,0.102767836,-2.529117531,-2.177666461
0.006139746,-0.030207123,0.069193449,0.030096761,0.028392017,-0.002759887,-0.059414691,0.022643686,0.083357023,-0.064484336,-0.781448833,-0.131174696,0.043533129,1.097087486,-0.113408999,0.050285656,0.850487563,-0.327256031,0.007622117,0.096823568,0.296158796,0.162471445,0.163235336,0.150920041,0.000819562,-2.313803932,-2.416950391
0.221451134,-0.01497311,0.17272203,0.056539882,-0.086568674,-0.235193716,0.16335892,0.190661851,0.29899777,0.003741557,-0.747661938,-0.187185788,0.058025225,1.142613487,-0.311786599,-0.07203628,0.954026504,-0.105404494,0.013898356,0.100033941,0.248743795,0.181450162,0.026320194,0.529671378,-0.056359012,-2.519043267,-2.302380961
-0.008170861,0.036386306,0.091760676,0.269600743,-0.034796867,-0.139387767,0.245811299,0.258242285,0.14711018,0.170810658,-0.734266293,-0.15457779,0.07537757,1.264476815,-0.186956383,-0.154317725,1.199158278,-0.170660155,0.066743119,0.160359164,0.283546168,0.188555497,0.079517682,0.115506777,-0.122482556,-2.528581533,-2.385214244
-0.007896476,0.010149273,-0.001596406,-0.019176013,-0.024919947,0.023622603,-0.003508536,0.035189768,0.035615145,0.017935041,-0.775443629,-0.18434634,0.089834748,1.197201748,-0.266909057,0.131416653,1.064915135,0.094628555,0.153320567,0.098301506,0.185882392,0.187659129,0.073976278,0.381293042,-0.334817121,-2.351736609,-2.311239017
